zip.code,city,county,store.number,store.name,address,store.latitude,store.longitude
50111,Grimes,Polk,4136,Fareway Stores,351 Gateway Dr,,
50111,Grimes,Polk,4375,Kum & Go,801 N 1st St,41.6334883333333,-93.8690031666667
50111,Grimes,Polk,4374,Kum & Go,1950 Princeton Dr,,
50111,Grimes,Polk,4661,Quik Trip,1900 Se 37th St,41.658525,-93.773467
50111,Grimes,Polk,5332,Casey's General Store,951 Se Gateway Dr,41.681101,-93.777206
50111,Grimes,Polk,9912,Southern Wine & Spirits,3100 Se Grimes Blvd Suite 100,41.657621,-93.774496
50111,Grimes,Polk,5425,Spirits Liquor,109 E 1st St # B,41.6884,-93.793812
50111,Grimes,Polk,5395,Yesway Store,1905 Se 37th St,41.658535,-93.773947
50111,Grimes,Polk,9911,Southern Glazers Wine & Spirits of Iowa,3100 Se Grimes Blvd Ste 100,,
50112,Grinnell,Poweshiek,4345,Lucky Mart,1031 W St,41.745903,-92.727379
50112,Grinnell,Poweshiek,2579,Hy-Vee Food Store,320 W St S,41.7283,-92.727343
50112,Grinnell,Poweshiek,3054,Mcnally's Super Valu,1026 Main,,
50112,Grinnell,Poweshiek,4364,Kum & Go,715 Lang Creek Ave,41.699737,-92.72634925
50112,Grinnell,Poweshiek,4185,Fareway Stores,727 W St,41.741338,-92.72734675
50112,Grinnell,Poweshiek,3888,Wal-Mart 0647,415 Industrial Ave,,
50112,Grinnell,Poweshiek,4365,Kum & Go,1002 W St,41.745106,-92.727375
50112,Grinnell,Poweshiek,5497,Casey's General Store,635 Lang Creek Ave,,
50115,Guthrie Center,Guthrie,2459,Reinhart Foods,200 State Po Box 98,,
50115,Guthrie Center,Guthrie,5191,Casey's General Store,100 N 5th St,41.67748,-94.502323
50122,Hubbard,Hardin,3972,Hometown Foods,210 Maple St Box 295,,
50122,Hubbard,Hardin,5325,Hometown Foods- Hubbard,210 E Maple St,42.305556,-93.298266
50122,Hubbard,Hardin,5325,Hometown Foods,210 E Maple St,42.305556,-93.298266
50123,Humeston,Wayne,5059,Casey's General Store,207 Front St,40.8601353333333,-93.4994723333333
50124,Huxley,Story,4520,Casey's General Store,902 N Hwy 69,,
50124,Huxley,Story,5135,Fareway Stores,911 Hwy 69,,
50125,Indianola,Warren,2448,Bottle Boutique,705 E Second,41.3581785,-93.552727
50125,Indianola,Warren,4684,Indy 66,1201 N Jefferson,,
50125,Indianola,Warren,4482,Indy 66 West,2001 W 2nd Ave,,
50125,Indianola,Warren,4138,Fareway Stores,1309 W 2nd,41.3566166666667,-93.5792391666667
50125,Indianola,Warren,2549,Hy-Vee Food Store,910 N Jefferson,,
50125,Indianola,Warren,4714,Walgreens,1000 N Jefferson St,,
50125,Indianola,Warren,3651,Wal-Mart 1491,1500 N Jefferson,,
